"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","7","1","T0_T6","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","7","1","T0_T9","c_Viruses","VP","3",0,NA,NA,"VPCL_SR",0
"NJ2020","7","1","T0_T12","c_Viruses","VP","3",465586.354,NA,NA,"VPCL_SR",1396759.062
"NJ2020","7","1","T0_T24","c_Viruses","VP","3",465586.354,NA,NA,"VPCL_SR",1396759.062
"NJ2020","1","1","T0_T3","c_V1","VP","1",-101227.973,NA,1,"LM_SR",-303683.919000001
"NJ2020","1","1","T0_T6","c_V1","VP","1",-114630.12,7737.7331781687,0.995464181755382,"LM_SR",-687780.720000003
"NJ2020","1","1","T0_T17","c_V1","VP","1",64976.9030818181,44477.9402152926,0.516226768798452,"LM_SR",1104607.35239091
"NJ2020","1","1","T0_T20","c_V1","VP","1",32467.7748552123,33148.7263194585,0.242297454186355,"LM_SR",649355.497104247
"NJ2020","1","1","T0_T24","c_V1","VP","1",89862.5350837837,43834.2802808087,0.512356367696549,"LM_SR",2156700.84201081
"NJ2020","1","1","T0_T3","c_V1","VP","2",-15143.1443333333,NA,1,"LM_SR",-45429.4329999998
"NJ2020","1","1","T0_T6","c_V1","VP","2",-55990.7928333338,23583.4008572379,0.849321364016254,"LM_SR",-335944.757000003
"NJ2020","1","1","T0_T17","c_V1","VP","2",55871.6028,28221.462219886,0.66212979781613,"LM_SR",949817.2476
"NJ2020","1","1","T0_T20","c_V1","VP","2",82187.0735617761,23304.8669856609,0.805661052075247,"LM_SR",1643741.47123552
"NJ2020","1","1","T0_T24","c_V1","VP","2",64740.1665689188,19651.8717036314,0.730689596428401,"LM_SR",1553763.99765405
"NJ2020","1","1","T0_T3","c_V1","VP","3",-148487.228999999,NA,1,"LM_SR",-445461.686999998
"NJ2020","1","1","T0_T6","c_V1","VP","3",-196025.099333334,27446.0022336511,0.980773356101902,"LM_SR",-1176150.596
"NJ2020","1","1","T0_T17","c_V1","VP","3",64012.1687696969,64661.041251209,0.328865982071373,"LM_SR",1088206.86908485
"NJ2020","1","1","T0_T20","c_V1","VP","3",54103.9651866152,38946.2862518411,0.391463604055125,"LM_SR",1082079.3037323
"NJ2020","1","1","T0_T24","c_V1","VP","3",29104.0604675675,31348.6764061079,0.177280359619456,"LM_SR",698497.45122162
"NJ2020","2","1","T0_T3","c_V1","VP","1",-678901.919999998,NA,1,"LM_SR",-2036705.75999999
"NJ2020","2","1","T0_T6","c_V1","VP","1",-407895.076666669,156465.873950732,0.871730197939724,"LM_SR",-2447370.46000001
"NJ2020","2","1","T0_T17.5","c_V1","VP","1",2223490.90833867,629644.167505371,0.861786809659518,"LM_SR",38911090.8959267
